id,slug,title,summary,content,tags,cover_url,is_hidden,created_at,updated_at
d6a8e737-f380-4639-8053-d6074ef59dd2,personal-portfolio-website,Personal Portfolio Website,A visually engaging personal portfolio website demonstrating advanced frontend techniques.,"This project showcases frontend development using modern frameworks, responsive layouts, design systems, and accessibility best practices.","{""Nextjs 15"",""Typescript"",""Tailwind""}",https://placehold.co/600x400?text=Placeholder+Image,False,2024-11-28T09:21:53.397126,2025-02-20T09:21:53.397126
a4da3feb-432c-4aed-8496-c6037528a821,e-commerce-storefront-ui,E-commerce Storefront UI,A visually engaging e-commerce storefront ui demonstrating advanced frontend techniques.,"This project showcases frontend development using modern frameworks, responsive layouts, design systems, and accessibility best practices.","{""React"",""Vite"",""Styled Components""}",https://placehold.co/600x400?text=Placeholder+Image,False,2023-11-17T03:36:29.686969,2023-12-07T03:36:29.686969
c825ca88-dfb4-4c75-aaeb-3b13c4a8a21c,interactive-3d-gallery,Interactive 3D Gallery,A visually engaging interactive 3d gallery demonstrating advanced frontend techniques.,"This project showcases frontend development using modern frameworks, responsive layouts, design systems, and accessibility best practices.","{""Vue 3"",""Composition API"",""Pinia""}",https://placehold.co/600x400?text=Placeholder+Image,False,2024-02-03T12:46:05.315962,2024-04-29T12:46:05.315962
d624bdf4-6e3f-445f-8673-d9c43d14b420,landing-page-collection,Landing Page Collection,A visually engaging landing page collection demonstrating advanced frontend techniques.,"This project showcases frontend development using modern frameworks, responsive layouts, design systems, and accessibility best practices.","{""Svelte"",""Typescript"",""Vercel""}",https://placehold.co/600x400?text=Placeholder+Image,False,2023-09-16T14:31:54.049874,2023-09-19T14:31:54.049874
000aff9a-ffbf-4721-955b-42e784dbb3d1,design-system-showcase,Design System Showcase,A visually engaging design system showcase demonstrating advanced frontend techniques.,"This project showcases frontend development using modern frameworks, responsive layouts, design systems, and accessibility best practices.","{""HTML5"",""CSS3"",""JavaScript ES6""}",https://placehold.co/600x400?text=Placeholder+Image,False,2024-02-14T12:32:23.910088,2024-05-18T12:32:23.910088
bea5c060-d614-438a-a0ce-18cb86488e18,weather-forecast-dashboard,Weather Forecast Dashboard,A visually engaging weather forecast dashboard demonstrating advanced frontend techniques.,"This project showcases frontend development using modern frameworks, responsive layouts, design systems, and accessibility best practices.","{""Figma"",""UI Design"",""Prototyping""}",https://placehold.co/600x400?text=Placeholder+Image,False,2024-01-10T09:15:12.235409,2024-01-19T09:15:12.235409
23c2b734-9c18-4484-9a71-e30eac2dd1b0,responsive-blog-template,Responsive Blog Template,A visually engaging responsive blog template demonstrating advanced frontend techniques.,"This project showcases frontend development using modern frameworks, responsive layouts, design systems, and accessibility best practices.","{""Three.js"",""WebGL"",""Animation""}",https://placehold.co/600x400?text=Placeholder+Image,False,2024-01-24T09:45:56.053655,2024-04-06T09:45:56.053655
79c2cce1-9d90-4537-9f02-0cee82bbbc5e,fitness-tracker-ui-kit,Fitness Tracker UI Kit,A visually engaging fitness tracker ui kit demonstrating advanced frontend techniques.,"This project showcases frontend development using modern frameworks, responsive layouts, design systems, and accessibility best practices.","{""GSAP"",""ScrollTrigger"",""UX Motion""}",https://placehold.co/600x400?text=Placeholder+Image,False,2024-06-04T05:56:58.390297,2024-07-27T05:56:58.390297
bdfb3b0c-a717-4902-a78a-08a0aeda8966,online-course-frontend,Online Course Frontend,A visually engaging online course frontend demonstrating advanced frontend techniques.,"This project showcases frontend development using modern frameworks, responsive layouts, design systems, and accessibility best practices.","{""Accessibility"",""ARIA"",""Semantic HTML""}",https://placehold.co/600x400?text=Placeholder+Image,False,2025-04-16T06:19:28.064982,2025-05-03T06:19:28.064982
46d98777-e3a4-4486-ad6c-30fae1fde0af,music-player-interface,Music Player Interface,A visually engaging music player interface demonstrating advanced frontend techniques.,"This project showcases frontend development using modern frameworks, responsive layouts, design systems, and accessibility best practices.","{""Framer Motion"",""React"",""UI Transitions""}",https://placehold.co/600x400?text=Placeholder+Image,False,2024-03-15T02:14:52.254764,2024-05-10T02:14:52.254764
